Time	Compartments[Venous balloon].Volume	Values[is_rising]	Values[is_falling]	Values[is_maximum]	Values[slope_up]	Values[maximum]	Values[slope_down]	Values[F_in]	Values[F_out]
105	0.02902276	0	0	1	0.126	0.006	0.312	0.018	0.01799973
106.5	0.02902314	0	0	1	0.1278	0.006	0.3102	0.018	0.01799976
108	0.02902349	0	0	1	0.1296	0.006	0.3084	0.018	0.01799978
109.5	0.02902379	0	0	1	0.1314	0.006	0.3066	0.018	0.01799981
111	0.02902407	0	0	1	0.1332	0.006	0.3048	0.018	0.01799983
112.5	0.02902432	0	0	1	0.135	0.006	0.303	0.018	0.01799984
114	0.02902454	0	0	1	0.1368	0.006	0.3012	0.018	0.01799986
115.5	0.02902474	0	0	1	0.1386	0.006	0.2994	0.018	0.01799987
117	0.02902491	0	0	1	0.1404	0.006	0.2976	0.018	0.01799989
118.5	0.02902507	0	0	1	0.1422	0.006	0.2958	0.018	0.0179999
120	0.02902522	0	0	1	0.144	0.006	0.294	0.018	0.01799991
121.5	0.02902534	0	0	1	0.1458	0.006	0.2922	0.018	0.01799992
123	0.02902546	0	0	1	0.1476	0.006	0.2904	0.018	0.01799993
124.5	0.02902556	0	0	1	0.1494	0.006	0.2886	0.018	0.01799994
126	0.02902565	0	0	1	0.1512	0.006	0.2868	0.018	0.01799994
127.5	0.02902574	0	0	1	0.153	0.006	0.285	0.018	0.01799995
129	0.02902581	0	0	1	0.1548	0.006	0.2832	0.018	0.01799995
130.5	0.02902588	0	0	1	0.1566	0.006	0.2814	0.018	0.01799996
132	0.02902594	0	0	1	0.1584	0.006	0.2796	0.018	0.01799996
133.5	0.02902599	0	0	1	0.1602	0.006	0.2778	0.018	0.01799997
135	0.02902604	0	0	1	0.162	0.006	0.276	0.018	0.01799997
136.5	0.02902608	0	0	1	0.1638	0.006	0.2742	0.018	0.01799997
138	0.02902612	0	0	1	0.1656	0.006	0.2724	0.018	0.01799998
139.5	0.02902615	0	0	1	0.1674	0.006	0.2706	0.018	0.01799998
141	0.02902619	0	0	1	0.1692	0.006	0.2688	0.018	0.01799998
142.5	0.02902621	0	0	1	0.171	0.006	0.267	0.018	0.01799998
144	0.02902624	0	0	1	0.1728	0.006	0.2652	0.018	0.01799998
145.5	0.02902626	0	0	1	0.1746	0.006	0.2634	0.018	0.01799999
147	0.02902628	0	0	1	0.1764	0.006	0.2616	0.018	0.01799999
148.5	0.0290263	0	0	1	0.1782	0.006	0.2598	0.018	0.01799999
150	0.02902631	0	0	1	0.18	0.006	0.258	0.018	0.01799999
151.5	0.02902633	0	0	1	0.1818	0.006	0.2562	0.018	0.01799999
153	0.02902634	0	0	1	0.1836	0.006	0.2544	0.018	0.01799999
154.5	0.02902635	0	0	1	0.1854	0.006	0.2526	0.018	0.01799999
156	0.02902636	0	0	1	0.1872	0.006	0.2508	0.018	0.01799999
157.5	0.02902637	0	0	1	0.189	0.006	0.249	0.018	0.01799999
159	0.02902638	0	0	1	0.1908	0.006	0.2472	0.018	0.01799999
160.5	0.02902639	0	0	1	0.1926	0.006	0.2454	0.018	0.018
162	0.0290264	0	0	1	0.1944	0.006	0.2436	0.018	0.018
163.5	0.0290264	0	0	1	0.1962	0.006	0.2418	0.018	0.018
165	0.02902641	0	0	1	0.198	0.006	0.24	0.018	0.018
166.5	0.02902641	0	0	1	0.1998	0.006	0.2382	0.018	0.018
168	0.02902642	0	0	1	0.2016	0.006	0.2364	0.018	0.018
169.5	0.02902642	0	0	1	0.2034	0.006	0.2346	0.018	0.018
171	0.02902642	0	0	1	0.2052	0.006	0.2328	0.018	0.018
172.5	0.02902643	0	0	1	0.207	0.006	0.231	0.018	0.018
174	0.02902643	0	0	1	0.2088	0.006	0.2292	0.018	0.018
175.5	0.02902643	0	0	1	0.2106	0.006	0.2274	0.018	0.018
177	0.02902643	0	0	1	0.2124	0.006	0.2256	0.018	0.018
178.5	0.02902644	0	0	1	0.2142	0.006	0.2238	0.018	0.018
180	0.02902644	0	0	1	0.216	0.006	0.222	0.018	0.018
181.5	0.02902644	0	0	1	0.2178	0.006	0.2202	0.018	0.018
183	0.02902644	0	0	1	0.2196	0.006	0.2184	0.018	0.018
184.5	0.02902644	0	0	1	0.2214	0.006	0.2166	0.018	0.018
186	0.02902644	0	0	1	0.2232	0.006	0.2148	0.018	0.018
187.5	0.02902644	0	0	1	0.225	0.006	0.213	0.018	0.018
189	0.02902645	0	0	1	0.2268	0.006	0.2112	0.018	0.018
190.5	0.02902645	0	0	1	0.2286	0.006	0.2094	0.018	0.018
