Time	Compartments[Venous balloon].Volume	Values[is_rising]	Values[is_falling]	Values[is_maximum]	Values[slope_up]	Values[maximum]	Values[slope_down]	Values[F_in]	Values[F_out]
532.5	0.02370044	0	0	0	0.639	0.006	-0.201	0.012	0.01200002
534	0.02370041	0	0	0	0.6408	0.006	-0.2028	0.012	0.01200002
535.5	0.02370038	0	0	0	0.6426	0.006	-0.2046	0.012	0.01200002
537	0.02370035	0	0	0	0.6444	0.006	-0.2064	0.012	0.01200002
538.5	0.02370032	0	0	0	0.6462	0.006	-0.2082	0.012	0.01200002
540	0.0237003	0	0	0	0.648	0.006	-0.21	0.012	0.01200002
541.5	0.02370027	0	0	0	0.6498	0.006	-0.2118	0.012	0.01200001
543	0.02370025	0	0	0	0.6516	0.006	-0.2136	0.012	0.01200001
544.5	0.02370023	0	0	0	0.6534	0.006	-0.2154	0.012	0.01200001
546	0.02370021	0	0	0	0.6552	0.006	-0.2172	0.012	0.01200001
547.5	0.0237002	0	0	0	0.657	0.006	-0.219	0.012	0.01200001
549	0.02370018	0	0	0	0.6588	0.006	-0.2208	0.012	0.01200001
550.5	0.02370017	0	0	0	0.6606	0.006	-0.2226	0.012	0.01200001
552	0.02370015	0	0	0	0.6624	0.006	-0.2244	0.012	0.01200001
553.5	0.02370014	0	0	0	0.6642	0.006	-0.2262	0.012	0.01200001
555	0.02370013	0	0	0	0.666	0.006	-0.228	0.012	0.01200001
556.5	0.02370012	0	0	0	0.6678	0.006	-0.2298	0.012	0.01200001
558	0.02370011	0	0	0	0.6696	0.006	-0.2316	0.012	0.01200001
559.5	0.0237001	0	0	0	0.6714	0.006	-0.2334	0.012	0.01200001
561	0.0237001	0	0	0	0.6732	0.006	-0.2352	0.012	0.01200001
562.5	0.02370009	0	0	0	0.675	0.006	-0.237	0.012	0.012
564	0.02370008	0	0	0	0.6768	0.006	-0.2388	0.012	0.012
565.5	0.02370007	0	0	0	0.6786	0.006	-0.2406	0.012	0.012
567	0.02370007	0	0	0	0.6804	0.006	-0.2424	0.012	0.012
568.5	0.02370006	0	0	0	0.6822	0.006	-0.2442	0.012	0.012
570	0.02370006	0	0	0	0.684	0.006	-0.246	0.012	0.012
571.5	0.02370005	0	0	0	0.6858	0.006	-0.2478	0.012	0.012
573	0.02370005	0	0	0	0.6876	0.006	-0.2496	0.012	0.012
574.5	0.02370005	0	0	0	0.6894	0.006	-0.2514	0.012	0.012
576	0.02370004	0	0	0	0.6912	0.006	-0.2532	0.012	0.012
577.5	0.02370004	0	0	0	0.693	0.006	-0.255	0.012	0.012
579	0.02370004	0	0	0	0.6948	0.006	-0.2568	0.012	0.012
580.5	0.02370003	0	0	0	0.6966	0.006	-0.2586	0.012	0.012
582	0.02370003	0	0	0	0.6984	0.006	-0.2604	0.012	0.012
583.5	0.02370003	0	0	0	0.7002	0.006	-0.2622	0.012	0.012
585	0.02370003	0	0	0	0.702	0.006	-0.264	0.012	0.012
586.5	0.02370002	0	0	0	0.7038	0.006	-0.2658	0.012	0.012
588	0.02370002	0	0	0	0.7056	0.006	-0.2676	0.012	0.012
589.5	0.02370002	0	0	0	0.7074	0.006	-0.2694	0.012	0.012
591	0.02370002	0	0	0	0.7092	0.006	-0.2712	0.012	0.012
592.5	0.02370002	0	0	0	0.711	0.006	-0.273	0.012	0.012
594	0.02370002	0	0	0	0.7128	0.006	-0.2748	0.012	0.012
595.5	0.02370001	0	0	0	0.7146	0.006	-0.2766	0.012	0.012
597	0.02370001	0	0	0	0.7164	0.006	-0.2784	0.012	0.012
598.5	0.02370001	0	0	0	0.7182	0.006	-0.2802	0.012	0.012
600	0.02370001	0	0	0	0.72	0.006	-0.282	0.012	0.012
